Provider,PotentialFraud,InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_std,InscClaimAmtReimbursed_count,DeductibleAmtPaid_sum,DeductibleAmtPaid_mean,Inpatient,Outpatient,UniqueAttendingPhysicians,UniqueOperatingPhysicians,UniqueOtherPhysicians,FraudBinary,Inpatient_Ratio,Total_Physicians,Amount_Per_Physician,Inpatient_Outpatient_Ratio,Deductible_Ratio,Pct_Male,Unique_Races,Unique_States,Pct_RenalDisease,Pct_Alzheimer,Pct_Heartfailure,Pct_Diabetes
PRV51015,No,700,87.5,74.02,8,0.0,0.0,0,8,3,1,4,0,0.0,4,175.0,0.0,0.0,0.0,2,1,0.4286,1.4286,1.1429,1.0
PRV51016,No,170,28.33,37.64,6,0.0,0.0,0,6,3,1,0,0,0.0,4,42.5,0.0,0.0,0.5,2,1,0.1667,1.6667,1.3333,1.1667
PRV51017,No,142720,277.13,570.18,515,1050.0,2.04,0,515,113,46,69,0,0.0,159,897.6100628930818,0.0,0.007357011231703813,0.4357,4,10,0.1619,1.6119,1.4333,1.3381
PRV51021,Yes,348830,1357.32,4462.49,257,31492.0,122.54,29,228,69,30,41,1,0.11284046692607004,99,3523.5353535353534,0.12663755458515283,0.09027867362705723,0.4519,2,4,0.2067,1.6442,1.4567,1.2548
PRV51023,No,65610,1822.5,3084.7,36,8624.0,246.4,9,27,14,8,6,0,0.25,22,2982.2727272727275,0.32142857142857145,0.13144137415982077,0.4,2,1,0.2857,1.5429,1.4,1.4
PRV51024,No,64050,1642.31,3334.49,39,9702.0,248.77,9,30,13,5,8,0,0.23076923076923078,18,3558.3333333333335,0.2903225806451613,0.1514730449173315,0.4474,2,2,0.2895,1.6316,1.4474,1.2368
PRV51025,No,118350,1360.34,3052.03,87,14284.0,164.18,13,74,35,15,20,0,0.14942528735632185,50,2367.0,0.17333333333333334,0.1206918403731274,0.4737,2,2,0.2105,1.6842,1.4737,1.3026
PRV51026,No,19840,261.05,668.78,76,340.0,4.47,0,76,29,10,18,0,0.0,39,508.71794871794873,0.0,0.01713623305276952,0.4643,2,3,0.1607,1.5714,1.5536,1.2857
PRV51027,No,29840,563.02,1044.04,53,0.0,0.0,0,53,10,6,5,0,0.0,16,1865.0,0.0,0.0,0.4773,3,2,0.2727,1.5682,1.3409,1.25
PRV51029,No,30660,329.68,618.31,93,160.0,1.72,0,93,38,10,17,0,0.0,48,638.75,0.0,0.005218355565702358,0.4304,2,6,0.1266,1.6582,1.5316,1.3544
PRV51030,No,739760,4326.08,6972.11,171,86748.0,510.28,82,89,46,12,23,0,0.47953216374269003,58,12754.48275862069,0.9111111111111111,0.11726490042054123,0.4138,2,2,0.2552,1.5793,1.3655,1.2759
PRV51031,No,359720,1944.43,6540.99,185,30244.0,163.48,28,157,60,16,28,0,0.15135135135135136,76,4733.1578947368425,0.17721518987341772,0.08407627022053202,0.3949,3,4,0.2229,1.5287,1.3312,1.3185
PRV51032,No,5420,235.65,596.21,23,50.0,2.17,0,23,10,4,8,0,0.0,14,387.14285714285717,0.0,0.009223390518354546,0.381,2,3,0.1429,1.619,1.381,1.2857
PRV51035,No,32560,1085.33,5274.67,30,1428.0,47.6,1,29,18,7,8,0,0.03333333333333333,25,1302.4,0.03333333333333333,0.043856146924234514,0.36,2,2,0.24,1.72,1.44,1.28
PRV51036,No,74880,269.35,579.15,278,1410.0,5.07,0,278,5,3,4,0,0.0,8,9360.0,0.0,0.018829876737757243,0.4351,2,1,0.1374,1.6947,1.4809,1.3664
PRV51037,Yes,342230,753.81,2427.05,454,25524.0,56.22,23,431,3,3,1,1,0.05066079295154185,6,57038.333333333336,0.05324074074074074,0.0745812039236656,0.4515,2,1,0.165,1.6456,1.4417,1.3786
PRV51038,No,265490,1882.91,3612.44,141,31192.0,222.8,30,111,44,16,22,0,0.2127659574468085,60,4424.833333333333,0.26785714285714285,0.11748797511026739,0.3738,2,3,0.2056,1.5234,1.4019,1.2617
PRV51040,No,74470,865.93,3171.52,86,8784.0,103.34,9,77,15,8,11,0,0.10465116279069768,23,3237.8260869565215,0.11538461538461539,0.11795195445206859,0.4783,3,2,0.1449,1.6232,1.4348,1.3043
PRV51041,No,7410,217.94,562.42,34,270.0,7.94,0,34,9,4,5,0,0.0,13,570.0,0.0,0.0364323303197949,0.4516,2,1,0.0968,1.4839,1.5161,1.3548
PRV51042,No,48050,338.38,625.79,142,310.0,2.18,0,142,52,27,27,0,0.0,79,608.2278481012659,0.0,0.006451478637281222,0.4609,3,9,0.1719,1.6562,1.4844,1.3984
PRV51043,No,4480,194.78,297.64,23,0.0,0.0,0,23,6,2,4,0,0.0,8,560.0,0.0,0.0,0.45,2,2,0.05,1.65,1.35,1.2
PRV51044,No,21330,361.53,633.15,59,130.0,2.2,0,59,1,1,1,0,0.0,2,10665.0,0.0,0.006094416576813089,0.5128,3,1,0.1538,1.6667,1.4359,1.4103
PRV51045,No,8390,270.65,602.72,31,40.0,1.29,0,31,16,4,8,0,0.0,20,419.5,0.0,0.004767012275056608,0.3793,2,3,0.1724,1.5172,1.4828,1.2759
PRV51046,No,109370,2878.16,7053.67,38,8644.0,227.47,8,30,6,2,4,0,0.21052631578947367,8,13671.25,0.25806451612903225,0.0790337475199093,0.3462,2,1,0.1538,1.6538,1.5,1.1923
PRV51047,No,2530,230.0,371.81,11,0.0,0.0,0,11,10,1,5,0,0.0,11,230.0,0.0,0.0,0.5455,2,2,0.0,1.7273,1.4545,1.3636
PRV51048,No,27700,728.95,1574.71,38,4352.0,114.53,4,34,15,7,8,0,0.10526315789473684,22,1259.090909090909,0.11428571428571428,0.1571062416519259,0.3939,2,1,0.0909,1.4242,1.3939,1.1515
PRV51049,No,21720,305.92,644.05,71,190.0,2.68,0,71,35,11,21,0,0.0,46,472.17391304347825,0.0,0.008747295244233691,0.4462,2,4,0.2154,1.5692,1.4,1.3385
PRV51052,Yes,30800,669.57,1588.24,46,2346.0,51.0,2,44,17,5,6,1,0.043478260869565216,22,1400.0,0.044444444444444446,0.07616635823512223,0.4595,2,1,0.1892,1.7027,1.3784,1.4054
PRV51053,No,8000,8000.0,0.0,1,1068.0,1068.0,1,0,1,1,1,0,1.0,2,4000.0,1.0,0.13348331458567678,1.0,1,1,1.0,2.0,1.0,2.0
PRV51054,No,15130,265.44,417.09,57,140.0,2.46,0,57,3,2,2,0,0.0,5,3026.0,0.0,0.009252527922807481,0.4,2,1,0.175,1.675,1.5,1.475
PRV51055,No,21640,983.64,3395.78,22,2206.0,100.27,2,20,6,3,3,0,0.09090909090909091,9,2404.4444444444443,0.09523809523809523,0.10193613973476272,0.4545,2,1,0.2273,1.5455,1.3182,1.5
PRV51056,No,14700,668.18,1288.24,22,2146.0,97.55,2,20,5,3,4,0,0.09090909090909091,8,1837.5,0.09523809523809523,0.1459764641861098,0.4286,2,1,0.3333,1.5714,1.4286,1.0952
PRV51057,No,6830,1366.0,1273.88,5,0.0,0.0,0,5,1,1,1,0,0.0,2,3415.0,0.0,0.0,0.5,1,1,0.0,2.0,1.25,1.75
PRV51058,No,107030,1289.52,6524.93,83,5540.0,66.75,5,78,31,11,17,0,0.060240963855421686,42,2548.3333333333335,0.06329113924050633,0.05176070484252226,0.4667,2,2,0.1467,1.6133,1.4667,1.28
PRV51059,Yes,421060,4386.04,10846.38,96,26940.0,280.62,25,71,30,15,17,1,0.2604166666666667,45,9356.888888888889,0.3472222222222222,0.06398122837308609,0.2927,2,1,0.1829,1.6829,1.378,1.378
PRV51060,No,43710,1040.71,2605.18,42,5340.0,127.14,5,37,28,5,8,0,0.11904761904761904,33,1324.5454545454545,0.13157894736842105,0.12216604516025714,0.5238,2,2,0.1905,1.619,1.4048,1.2143
PRV51061,No,54940,378.9,846.89,145,1328.0,9.16,1,144,6,4,5,0,0.006896551724137931,10,5494.0,0.006896551724137931,0.024171383848127993,0.3582,3,2,0.209,1.7015,1.5373,1.2985
PRV51062,No,153380,386.35,1582.01,397,3944.0,9.93,3,394,6,4,1,0,0.007556675062972292,10,15338.0,0.007594936708860759,0.02571374550954812,0.3916,2,1,0.1928,1.6627,1.4518,1.3072
PRV51063,No,51110,343.02,649.19,149,160.0,1.07,0,149,3,3,0,0,0.0,6,8518.333333333334,0.0,0.0031304415879164953,0.4261,3,1,0.2174,1.5826,1.3739,1.313
PRV51064,Yes,360320,1189.17,3480.87,303,38948.0,128.54,36,267,111,46,65,1,0.1188118811881188,157,2295.0318471337578,0.13432835820895522,0.10809250640401198,0.4493,3,4,0.1982,1.6432,1.3921,1.2863
PRV51065,No,76570,2734.64,3990.18,28,9722.0,360.07,10,18,9,4,4,0,0.35714285714285715,13,5890.0,0.5263157894736842,0.12696712854736128,0.4231,2,1,0.1154,1.5769,1.3077,1.2692
PRV51066,No,24790,1032.92,3108.29,24,2236.0,93.17,2,22,7,5,6,0,0.08333333333333333,12,2065.8333333333335,0.08695652173913043,0.09019402202412166,0.3333,2,1,0.1429,1.5238,1.4286,1.4762
PRV51067,Yes,334520,5767.59,15030.42,58,13096.0,225.79,12,46,21,5,14,1,0.20689655172413793,26,12866.153846153846,0.2553191489361702,0.03914851384516966,0.3061,2,1,0.2245,1.7347,1.3878,1.3469
PRV51068,No,143260,548.89,1833.74,261,8984.0,34.55,9,252,79,35,45,0,0.034482758620689655,114,1256.6666666666667,0.03557312252964427,0.06271071680359623,0.4065,2,2,0.1308,1.6355,1.4486,1.3084
PRV51070,No,125410,1266.77,3525.22,99,10980.0,110.91,10,89,46,15,16,0,0.10101010101010101,61,2055.901639344262,0.1111111111111111,0.08755212860115939,0.4783,3,5,0.1739,1.6232,1.4928,1.2754
PRV51071,No,8550,356.25,728.39,24,50.0,2.08,0,24,11,2,5,0,0.0,13,657.6923076923077,0.0,0.00584726932522512,0.2917,2,2,0.0417,1.5,1.4167,1.25
PRV51072,No,119170,562.12,1647.67,212,12178.0,57.72,12,200,47,22,45,0,0.05660377358490566,69,1727.1014492753623,0.05970149253731343,0.10218929101878813,0.4188,3,3,0.175,1.6438,1.45,1.2562
PRV51074,No,41170,1055.64,2662.1,39,5420.0,138.97,5,34,14,5,5,0,0.1282051282051282,19,2166.842105263158,0.14285714285714285,0.13164606154817712,0.3846,2,5,0.1282,1.6154,1.4103,1.2821
PRV51075,No,8550,502.94,765.49,17,70.0,4.12,0,17,4,2,3,0,0.0,6,1425.0,0.0,0.008186177055315168,0.3077,2,1,0.1538,1.7692,1.5385,1.2308
PRV51076,No,10230,352.76,853.55,29,50.0,1.72,0,29,8,3,5,0,0.0,11,930.0,0.0,0.00488710780959828,0.4815,3,1,0.2222,1.5185,1.4074,1.2222
PRV51077,Yes,204350,6192.42,11146.27,33,16220.0,506.88,16,17,11,2,5,1,0.48484848484848486,13,15719.23076923077,0.8888888888888888,0.07937323526677138,0.4,2,1,0.3,1.5667,1.3,1.1667
PRV51078,No,78270,3403.04,5039.11,23,8644.0,392.91,9,14,13,5,5,0,0.391304347826087,18,4348.333333333333,0.6,0.11043681567885935,0.2609,2,1,0.1739,1.6957,1.3913,1.3043
PRV51081,No,124080,620.4,3552.84,200,7168.0,35.84,6,194,3,2,1,0,0.03,5,24816.0,0.03076923076923077,0.057768715597069656,0.4733,4,2,0.2214,1.5115,1.3969,1.3435
PRV51082,No,5470,160.88,237.41,34,70.0,2.06,0,34,9,3,6,0,0.0,12,455.8333333333333,0.0,0.012794735880095047,0.2903,2,1,0.2258,1.6129,1.5161,1.1613
PRV51083,No,18100,201.11,512.32,90,140.0,1.56,0,90,18,8,15,0,0.0,26,696.1538461538462,0.0,0.007734379316059886,0.3704,3,3,0.1481,1.6049,1.4074,1.2963
PRV51084,Yes,215580,1959.82,5957.25,110,21890.0,199.0,20,90,32,12,15,1,0.18181818181818182,44,4899.545454545455,0.21978021978021978,0.1015395605364109,0.5294,3,2,0.1059,1.5529,1.4118,1.2353
PRV51086,No,446170,3209.86,8080.5,139,33168.0,238.62,31,108,24,16,18,0,0.22302158273381295,40,11154.25,0.28440366972477066,0.07433921075103492,0.3043,2,3,0.2,1.6522,1.4435,1.3043
PRV51089,No,230900,1012.72,3851.61,228,18696.0,82.36,18,210,72,29,43,0,0.07894736842105263,101,2286.138613861386,0.08530805687203792,0.08096976626346357,0.3909,2,5,0.2335,1.665,1.4315,1.3198
PRV51090,No,5830,832.86,1303.8,7,60.0,8.57,0,7,3,1,1,0,0.0,4,1457.5,0.0,0.010289830217801407,0.5714,2,1,0.0,1.8571,1.7143,1.1429
PRV51091,No,9270,210.68,451.69,44,80.0,1.82,0,44,19,6,13,0,0.0,25,370.8,0.0,0.008629058354007119,0.5,3,2,0.1136,1.7273,1.3409,1.3409
PRV51093,No,13710,1523.33,3616.56,9,2136.0,237.33,2,7,6,3,4,0,0.2222222222222222,9,1523.3333333333333,0.25,0.15578732404638612,0.3333,2,2,0.1111,1.6667,1.5556,1.3333
PRV51096,No,3200,640.0,826.44,5,100.0,20.0,0,5,3,0,2,0,0.0,3,1066.6666666666667,0.0,0.031240237425804437,0.6,1,1,0.4,1.4,1.2,1.2
PRV51097,No,44420,355.36,751.17,125,230.0,1.84,0,125,1,1,1,0,0.0,2,22210.0,0.0,0.005177731253236082,0.4085,2,1,0.1831,1.6761,1.5915,1.3099
PRV51098,No,300,75.0,85.05,4,0.0,0.0,0,4,2,0,2,0,0.0,2,150.0,0.0,0.0,0.5,1,1,0.5,2.0,1.0,1.0
PRV51100,No,78000,15600.0,11436.78,5,5340.0,1068.0,5,0,3,1,1,0,1.0,4,19500.0,5.0,0.06846066076075948,0.2,1,1,0.2,1.8,1.2,1.4
PRV51101,No,16600,5533.33,6576.73,3,3204.0,1068.0,3,0,1,1,0,0,1.0,2,8300.0,3.0,0.1930004216613457,1.0,2,1,0.3333,1.3333,1.0,1.3333
PRV51102,No,148000,12333.33,12017.66,12,12816.0,1068.0,12,0,3,1,1,0,1.0,4,37000.0,12.0,0.08659400949993581,0.7273,2,1,0.2727,1.7273,1.3636,1.2727
PRV51103,Yes,440,73.33,71.46,6,60.0,10.0,0,6,2,0,2,1,0.0,2,220.0,0.0,0.1360544217687075,0.75,2,1,0.0,1.25,1.5,1.0
PRV51104,No,1900,158.33,202.84,12,110.0,9.17,0,12,2,0,2,0,0.0,2,950.0,0.0,0.057864281956864806,0.2222,2,1,0.1111,1.4444,1.1111,1.2222
PRV51105,No,6540,545.0,767.45,12,0.0,0.0,0,12,2,1,2,0,0.0,3,2180.0,0.0,0.0,0.5,2,1,0.1667,1.5,1.1667,1.0833
PRV51108,No,156000,8210.53,5633.03,19,19224.0,1068.0,19,0,6,3,0,0,1.0,9,17333.333333333332,19.0,0.12322997929500452,0.3158,2,1,0.2105,1.4211,1.3158,1.1579
PRV51109,No,18000,6000.0,2645.75,3,3204.0,1068.0,3,0,1,2,0,0,1.0,3,6000.0,3.0,0.1779901116604633,1.0,2,1,0.0,1.3333,1.3333,1.0
PRV51110,No,27000,5400.0,2509.98,5,5340.0,1068.0,5,0,3,3,0,0,1.0,6,4500.0,5.0,0.19777045294618717,0.6,2,3,0.4,1.4,1.2,1.0
PRV51111,No,54860,415.61,886.06,132,200.0,1.52,0,132,4,2,2,0,0.0,6,9143.333333333334,0.0,0.0036455770037002607,0.3765,3,1,0.1882,1.6353,1.4941,1.2588
PRV51112,No,105250,346.22,655.49,304,810.0,2.66,0,304,7,7,6,0,0.0,14,7517.857142857143,0.0,0.007695888875165082,0.3949,3,1,0.1538,1.6667,1.4615,1.2974
PRV51113,No,46390,351.44,712.57,132,550.0,4.17,0,132,2,2,1,0,0.0,4,11597.5,0.0,0.01185574788213231,0.3718,2,1,0.1923,1.6667,1.5128,1.3718
PRV51114,No,76720,292.82,708.71,262,560.0,2.14,0,262,5,4,3,0,0.0,9,8524.444444444445,0.0,0.007299174932547803,0.4562,2,1,0.1562,1.6688,1.4062,1.3062
PRV51115,No,980,140.0,203.96,7,20.0,2.86,0,7,3,1,3,0,0.0,4,245.0,0.0,0.020387359836901122,0.1667,2,1,0.1667,1.5,1.5,1.1667
PRV51117,No,1950,162.5,390.85,12,0.0,0.0,0,12,4,0,3,0,0.0,4,487.5,0.0,0.0,0.5,2,2,0.5,1.7,1.0,1.1
PRV51118,No,136000,8500.0,5738.76,16,14952.0,1068.0,16,0,4,4,1,0,1.0,8,17000.0,16.0,0.10994036808552879,0.375,2,1,0.0625,1.75,1.25,1.1875
PRV51119,Yes,1080580,11374.53,16356.87,95,96985.0,1065.77,94,1,8,7,7,1,0.9894736842105263,15,72038.66666666667,47.0,0.08975264232852512,0.3704,2,1,0.1975,1.5185,1.321,1.2346
PRV51120,No,52000,7428.57,4649.63,7,7476.0,1068.0,7,0,1,1,0,0,1.0,2,26000.0,7.0,0.14376646602949944,0.4286,2,1,0.4286,1.4286,1.1429,1.1429
PRV51121,No,81080,11582.86,15810.69,7,6408.0,915.43,6,1,3,3,2,0,0.8571428571428571,6,13513.333333333334,3.0,0.07903207903207904,0.4286,2,1,0.1429,1.5714,1.7143,1.2857
PRV51122,No,1120,160.0,200.91,7,0.0,0.0,0,7,7,3,4,0,0.0,10,112.0,0.0,0.0,0.4286,1,1,0.1429,1.7143,1.5714,1.4286
PRV51123,No,26910,868.06,1317.69,31,2176.0,70.19,2,29,21,7,9,0,0.06451612903225806,28,961.0714285714286,0.06666666666666667,0.08085912823752368,0.5357,4,4,0.1786,1.5714,1.3929,1.2857
PRV51125,No,131310,2735.62,5492.63,48,13096.0,272.83,12,36,36,11,11,0,0.25,47,2793.8297872340427,0.32432432432432434,0.09973269566144496,0.5625,3,2,0.125,1.625,1.4062,1.3125
PRV51126,Yes,177000,8850.0,6200.81,20,21360.0,1068.0,20,0,2,2,0,1,1.0,4,44250.0,20.0,0.12067728430912819,0.6429,2,1,0.3571,1.5714,1.1429,1.3571
PRV51128,No,102220,2044.4,6147.38,50,5340.0,106.8,5,45,19,11,14,0,0.1,30,3407.3333333333335,0.10869565217391304,0.052239755040549396,0.3421,3,5,0.1316,1.6579,1.4211,1.3158
PRV51129,No,22920,238.75,364.57,96,480.0,5.0,0,96,54,11,29,0,0.0,65,352.61538461538464,0.0,0.020941494699184153,0.4615,2,9,0.1231,1.5846,1.4308,1.2769
PRV51130,No,4970,710.0,1110.86,7,0.0,0.0,0,7,2,1,2,0,0.0,3,1656.6666666666667,0.0,0.0,0.7143,2,1,0.1429,1.7143,1.4286,1.7143
PRV51131,No,1160,145.0,272.82,8,70.0,8.75,0,8,4,1,3,0,0.0,5,232.0,0.0,0.06029285099052541,0.5,1,2,0.25,1.625,1.625,1.125
PRV51132,No,5330,666.25,1376.04,8,1068.0,133.5,1,7,5,1,4,0,0.125,6,888.3333333333334,0.125,0.2003376477208779,0.3333,1,2,0.0,1.8333,1.6667,1.5
PRV51134,No,7610,507.33,862.04,15,80.0,5.33,0,15,3,1,1,0,0.0,4,1902.5,0.0,0.01051110235185915,0.6667,2,1,0.0833,1.4167,1.5,1.4167
PRV51135,No,300,60.0,25.5,5,0.0,0.0,0,5,1,1,1,0,0.0,2,150.0,0.0,0.0,1.0,2,1,0.0,2.0,1.5,1.5
PRV51136,No,20000,20000.0,0.0,1,1068.0,1068.0,1,0,1,1,0,0,1.0,2,10000.0,1.0,0.05339733013349333,1.0,1,1,0.0,2.0,2.0,1.0
PRV51137,No,16050,291.82,915.98,55,1348.0,24.51,1,54,23,9,12,0,0.01818181818181818,32,501.5625,0.01818181818181818,0.08398230639835524,0.3333,3,3,0.0784,1.5882,1.3333,1.1765
PRV51138,No,13430,516.54,1328.08,26,1068.0,41.08,1,25,7,4,7,0,0.038461538461538464,11,1220.909090909091,0.038461538461538464,0.07951753406298862,0.3333,3,3,0.1905,1.7143,1.381,1.619
PRV51139,No,52580,1222.79,2617.76,43,7516.0,174.79,7,36,34,8,11,0,0.16279069767441862,42,1251.904761904762,0.1891891891891892,0.14294136665335389,0.4286,4,9,0.2143,1.6429,1.381,1.2381
PRV51140,No,453130,930.45,2349.61,487,50418.0,103.74,47,440,5,5,2,0,0.09650924024640657,10,45313.0,0.10657596371882086,0.11126583703167517,0.4797,4,3,0.1726,1.6396,1.4213,1.3071
PRV51141,No,19490,274.51,409.53,71,170.0,2.39,0,71,8,7,5,0,0.0,15,1299.3333333333333,0.0,0.008721974244523114,0.4865,4,6,0.1622,1.7297,1.4595,1.4054
PRV51142,No,104570,2050.39,8323.29,51,7536.0,147.76,7,44,15,5,7,0,0.13725490196078433,20,5228.5,0.15555555555555556,0.07206586912241443,0.5,3,2,0.2105,1.6842,1.4211,1.3421
PRV51143,No,20450,265.58,515.69,77,350.0,4.55,0,77,26,7,13,0,0.0,33,619.6969696969697,0.0,0.017114077551219988,0.5441,4,10,0.1618,1.5882,1.3824,1.4118
PRV51144,No,61220,2040.67,6249.67,30,4492.0,149.73,4,26,14,7,6,0,0.13333333333333333,21,2915.2380952380954,0.14814814814814814,0.07337351562372389,0.4138,3,3,0.0345,1.6207,1.4828,1.3793
PRV51145,Yes,1606350,7952.23,8839.83,202,166748.0,846.44,161,41,37,8,17,1,0.7970297029702971,45,35696.666666666664,3.8333333333333335,0.10380545721327405,0.4348,4,7,0.1801,1.5155,1.3665,1.2857
PRV51146,Yes,1680910,4775.31,8277.43,352,171670.0,490.49,162,190,77,38,47,1,0.4602272727272727,115,14616.608695652174,0.8481675392670157,0.1021291430658732,0.4311,4,25,0.1946,1.6168,1.3563,1.2994
PRV51147,No,8860,276.88,691.73,32,210.0,6.56,0,32,23,5,10,0,0.0,28,316.42857142857144,0.0,0.023699356731745853,0.625,3,5,0.125,1.6875,1.4375,1.3125
PRV51148,Yes,488660,1480.79,4684.38,330,36294.0,110.32,34,296,60,28,39,1,0.10303030303030303,88,5552.954545454545,0.11447811447811448,0.0742723483150896,0.4677,4,12,0.2243,1.6578,1.4144,1.3118
PRV51149,Yes,1120680,7572.16,8738.85,148,123958.0,837.55,116,32,25,5,12,1,0.7837837837837838,30,37356.0,3.515151515151515,0.11060953116899457,0.4485,4,5,0.2721,1.5662,1.2941,1.2574
PRV51151,No,201300,863.95,2253.74,233,23298.0,100.42,22,211,97,39,55,0,0.0944206008583691,136,1480.1470588235295,0.10377358490566038,0.11573712996954809,0.4978,4,21,0.2222,1.5511,1.4178,1.32
PRV51152,No,25770,310.48,645.34,83,500.0,6.02,0,83,3,2,3,0,0.0,5,5154.0,0.0,0.019401653020837375,0.5385,3,2,0.1795,1.5897,1.5128,1.2821
PRV51153,No,71490,821.72,3780.92,87,4902.0,56.34,4,83,51,14,22,0,0.04597701149425287,65,1099.8461538461538,0.047619047619047616,0.06856807150550419,0.494,4,14,0.1687,1.6506,1.4337,1.3253
PRV51154,No,45750,284.16,796.71,161,790.0,4.91,0,161,3,3,2,0,0.0,6,7625.0,0.0,0.017267382133723853,0.4286,4,4,0.1769,1.619,1.4082,1.3197
PRV51155,No,26330,228.96,483.31,115,160.0,1.39,0,115,1,1,0,0,0.0,2,13165.0,0.0,0.006076487790057347,0.4455,4,2,0.1636,1.5636,1.4636,1.3364
PRV51156,No,140640,259.48,533.44,542,1720.0,3.17,0,542,3,3,1,0,0.0,6,23440.0,0.0,0.012229719640787538,0.4376,4,2,0.1576,1.6729,1.4988,1.3718
PRV51159,Yes,797790,1402.09,4299.03,569,70450.0,123.81,65,504,99,55,65,1,0.11423550087873462,154,5180.454545454545,0.12871287128712872,0.08830633586992082,0.4506,4,19,0.1621,1.5949,1.4684,1.3281
PRV51160,No,872020,7649.3,9433.84,114,96140.0,843.33,90,24,22,10,9,0,0.7894736842105263,32,27250.625,3.6,0.1102496384834769,0.3455,4,5,0.2273,1.5455,1.2909,1.2545
PRV51164,No,556980,1424.5,4465.11,391,44548.0,113.93,41,350,7,5,3,0,0.10485933503836317,12,46415.0,0.1168091168091168,0.0799811842773811,0.4431,4,5,0.2066,1.6587,1.4012,1.3413
PRV51165,No,329700,3364.29,8368.73,98,28088.0,286.61,26,72,62,29,24,0,0.2653061224489796,91,3623.076923076923,0.3561643835616438,0.08519234093921463,0.4845,4,13,0.1959,1.567,1.4536,1.3093
PRV51166,No,24870,4974.0,9586.41,5,1068.0,213.6,1,4,4,2,0,0,0.2,6,4145.0,0.2,0.042941578545293714,0.6,2,2,0.0,1.8,1.4,1.0
PRV51167,No,51980,273.58,546.33,190,410.0,2.16,0,190,22,18,17,0,0.0,40,1299.5,0.0,0.007887497354802717,0.3956,4,16,0.1593,1.5714,1.4341,1.2692
PRV51168,No,80470,924.94,3020.76,87,9782.0,112.44,9,78,14,7,5,0,0.10344827586206896,21,3831.904761904762,0.11392405063291139,0.12155931950640604,0.4186,4,7,0.1512,1.5581,1.3953,1.3256
PRV51169,No,19380,251.69,512.54,77,50.0,0.65,0,77,51,10,23,0,0.0,61,317.7049180327869,0.0,0.0025798462411640265,0.4324,4,17,0.2297,1.6081,1.4324,1.3243
PRV51170,Yes,145820,9113.75,16322.15,16,8544.0,534.0,8,8,8,5,1,1,0.5,13,11216.923076923076,0.8888888888888888,0.05859238381303104,0.375,3,4,0.25,1.5,1.4375,1.125
